[root@node-23 dev]# lsscsi -g
[0:0:0:0]    disk    Generic  Flash Disk       8.07  /dev/sdj   /dev/sg10
[1:0:0:0]    enclosu PMCSIERA SXP 24Sx12G      RevB  -          /dev/sg0
[1:0:1:0]    disk    SEAGATE  ST4000NM003A     N002  /dev/sda   /dev/sg1
[1:0:2:0]    disk    SEAGATE  ST4000NM003A     N002  /dev/sdb   /dev/sg2
[1:0:3:0]    disk    SEAGATE  ST4000NM003A     N002  /dev/sdc   /dev/sg3
[1:0:4:0]    disk    SEAGATE  ST4000NM003A     N002  /dev/sdd   /dev/sg4
[1:0:5:0]    disk    SEAGATE  ST4000NM003A     N002  /dev/sde   /dev/sg5
[1:0:6:0]    disk    SEAGATE  ST4000NM003A     N002  /dev/sdf   /dev/sg6
[1:0:8:0]    disk    ATA      INTEL SSDSC2KG96 0132  /dev/sdg   /dev/sg7
[1:0:10:0]   disk    ATA      INTEL SSDSC2KG96 0132  /dev/sdh   /dev/sg8
[1:2:0:0]    disk    AVAGO    MR9361-16i       4.72  /dev/sdi   /dev/sg9
[16:0:0:16]  disk    ESSTOR   IBLOCK           4.0   /dev/sdk   /dev/sg11
[16:0:0:17]  disk    ESSTOR   IBLOCK           4.0   /dev/sdu   /dev/sg21
[16:0:0:18]  disk    ESSTOR   IBLOCK           4.0   /dev/sdau  /dev/sg47
[16:0:0:19]  disk    ESSTOR   IBLOCK           4.0   /dev/sdab  /dev/sg28
[16:0:0:22]  disk    ESSTOR   IBLOCK           4.0   /dev/sdbl  /dev/sg64
[16:0:0:29]  disk    ESSTOR   IBLOCK           4.0   /dev/sdbu  /dev/sg73
[16:0:0:31]  disk    ESSTOR   IBLOCK           4.0   /dev/sdcb  /dev/sg80
[17:0:0:16]  disk    ESSTOR   IBLOCK           4.0   /dev/sdl   /dev/sg12
[17:0:0:17]  disk    ESSTOR   IBLOCK           4.0   /dev/sdt   /dev/sg20
[17:0:0:18]  disk    ESSTOR   IBLOCK           4.0   /dev/sdas  /dev/sg45
[17:0:0:19]  disk    ESSTOR   IBLOCK           4.0   /dev/sdac  /dev/sg29
[17:0:0:22]  disk    ESSTOR   IBLOCK           4.0   /dev/sdbj  /dev/sg62
[17:0:0:29]  disk    ESSTOR   IBLOCK           4.0   /dev/sdbv  /dev/sg74
[17:0:0:31]  disk    ESSTOR   IBLOCK           4.0   /dev/sdcd  /dev/sg82
[18:0:0:16]  disk    ESSTOR   IBLOCK           4.0   /dev/sdm   /dev/sg13
[18:0:0:17]  disk    ESSTOR   IBLOCK           4.0   /dev/sdv   /dev/sg22
