Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
vethb4520201:  122127     578    0    0    0     0          0         0  1164621     584    0    0    0     0       0          0
vethe8b3d405:    6151      79    0    0    0     0          0         0  1674406     160    0    0    0     0       0          0
 br-ex:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
9998900196eb_h:   29867     336    0    0    0     0          0         0    38252     428    0    0    0     0       0          0
    lo: 48653313   30942    0    0    0     0          0         0 48653313   30942    0    0    0     0       0          0
br-vm-storpub:       0       0    0 1714    0     0          0         0        0       0    0    0    0     0       0          0
  ovn0:    5614      90    0   11    0     0          0         0     4886      87    0    0    0     0       0          0
br-vm-roller:       0       0    0 2421    0     0          0         0        0       0    0    0    0     0       0          0
br-Bond1:       0       0    0 1714    0     0          0         0        0       0    0    0    0     0       0          0
ens2f1:  313682    4931    0    0    0     0          0      4237        0       0    0    0    0     0       0          0
   ib0:   27634     202    0    0    0     0          0         0    20064     267    0    0    0     0       0          0
br-storagepub:       0       0    0    0    0     0          0         0    34284     814    0    0    0     0       0          0
vetha46d57ef:     936      12    0    0    0     0          0         0     5348      76    0    0    0     0       0          0
vethe4a44020:     936      12    0    0    0     0          0         0     3714      53    0    0    0     0       0          0
vethd898d260:     936      12    0    0    0     0          0         0     5684      80    0    0    0     0       0          0
br-prv:       0       0    0 2421    0     0          0         0        0       0    0    0    0     0       0          0
ens27f0np0: 70292545   76024    0    0    0     0          0      4800 12346185   33391    0    0    0     0       0          0
mirror0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
br-mgmt: 2747993    4388    0    0    0     0          0         0  5405580    4622    0    0    0     0       0          0
ovs-system:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
br-vxlan:  175256    1607    0  249    0     0          0         0   183039    1529    0    0    0     0       0          0
genev_sys_6081:   91938    1542    0    0    0     0          0         0   103091    1820    6    0    0     0       6          0
br-Bond0:       0       0    0 2421    0     0          0         0        0       0    0    0    0     0       0          0
br-int:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
veth4f8bc5ba:   17590     185    0    0    0     0          0         0    30653     249    0    0    0     0       0          0
vethe4558861:    6317      47    0    0    0     0          0         0    49239      83    0    0    0     0       0          0
   ib1:   16212      78    0    0    0     0          0         0    11609     122    0    0    0     0       0          0
ens27f1np1:  328212    4921    0    0    0     0          0      4249        0       0    0    0    0     0       0          0
ens2f0:   66608    1110    0    0    0     0          0      1048    33978     809    0    0    0     0       0          0
br-roller: 57622869   22960    0    4    0     0          0         0  5576752   18544    0    0    0     0       0          0
  cni0:  141867     923    0    0    0     0          0         0  2896927     772    0    0    0     0       0          0
br-vm-mgmt:       0       0    0 2421    0     0          0         0        0       0    0    0    0     0       0          0
enp0s20f0u1u6:   34136     338    0    0    0     0          0         0        0       0    0    0    0     0       0          0
6b90400e4766_h:    1036      14    0    0    0     0          0         0      100       2    0    0    0     0       0          0
